V	J	scaling.factor
V17	J1-4	1.33681591745391
V17	J1-5	0.784206797307813
V17	J1-6	1.32535059502863
V17	J1-7	0.778620099336913
V17	J2-1	1.07056405574676
V17	J2-2	3.05601461030447
V17	J2-3	0.758082843655534
V17	J2-4	1.14275557986006
V17	J2-5	1.19338337931351
V17	J2-7	4.12773676742295
V19	J1-1	0.834042748012927
V19	J1-2	0.353412237182282
V19	J1-3	1.32040386385984
V19	J1-4	5.49538243448167
V19	J1-5	5.07701482589364
V19	J1-6	0.629224424769782
V19	J1-7	0.472874350009931
V19	J2-1	1.50490556531748
V19	J2-2	0.509222598317449
V19	J2-3	1.83863989812511
V19	J2-4	1.32187844918369
V19	J2-5	1.42771960710807
V19	J2-7	0.779054212723309
V2	J1-1	1.08130061659651
V2	J1-2	0.577225325915338
V2	J1-3	6.65347248947944
V2	J1-4	1.22202286164763
V2	J1-5	0.990456811184005
V2	J1-6	0.860199359491236
V2	J1-7	1.05305027785791
V2	J2-1	0.772648483480303
V2	J2-2	1.44929460288409
V2	J2-3	0.800586567148469
V2	J2-4	0.912349303807401
V2	J2-5	0.829522242956463
V2	J2-7	2.43329768858533
V20	J1-1	1.67953485245601
V20	J1-2	1.4581803366655
V20	J1-3	2.57024118952621
V20	J1-4	1.98488293260947
V20	J1-5	2.36207534371505
V20	J1-6	2.98359467611703
V20	J1-7	1.81093973598097
V20	J2-1	2.80452834785754
V20	J2-2	19.3788827453308
V20	J2-3	2.56938033339224
V20	J2-4	1.92193620712884
V20	J2-5	1.76183851650251
V20	J2-7	1.92482972409652
V23	J1-1	0.837805987373259
V23	J1-2	0.466781858259918
V23	J1-3	5.22349670218951
V23	J1-4	1.44581326716428
V23	J1-5	0.769681158628078
V23	J1-6	0.904685263875598
V23	J1-7	0.795983102765508
V23	J2-1	0.403242363027202
V23	J2-2	0.684271975922455
V23	J2-3	0.459861612045086
V23	J2-4	0.707082437022878
V23	J2-5	0.57730871458656
V23	J2-7	1.80985764078916
V24	J1-1	1.16624093304789
V24	J1-2	0.50641615554963
V24	J1-3	1.92698046507157
V24	J1-4	1.24917551567489
V24	J1-5	1.36152843146406
V24	J1-6	0.640641509822255
V24	J1-7	0.461293395095745
V24	J2-1	0.744629727058475
V24	J2-2	0.691768076007733
V24	J2-3	0.409580599148053
V24	J2-4	0.731815985548056
V24	J2-5	1.39481135071512
V24	J2-7	0.968980386243054
V26	J1-1	1.24631543017279
V26	J1-2	1.02182920327176
V26	J1-3	3.92988143404078
V26	J1-4	6.16773590861653
V26	J1-5	4.35695567845709
V26	J1-6	1.24982545652863
V26	J1-7	1.12137662282161
V26	J2-1	7.68290419236978
V26	J2-2	1.58813329301422
V26	J2-3	17.3882092581102
V26	J2-4	9.77690406830718
V26	J2-5	10.9599811022772
V26	J2-7	2.00502363566515
V29	J1-1	1.01442388007092
V29	J1-2	0.519720967321491
V29	J1-3	2.42600630412493
V29	J1-4	0.720125764260442
V29	J1-5	0.536481278964942
V29	J1-6	0.879272223517418
V29	J1-7	0.928401285223659
V29	J2-1	0.439166616063464
V29	J2-2	0.482960690351793
V29	J2-3	0.3748862975051
V29	J2-4	0.777618099394959
V29	J2-5	0.663293340643178
V29	J2-7	0.92656589696743
V3	J1-1	0.823169392944984
V3	J1-2	0.386462134208619
V3	J1-3	1.32475707126334
V3	J1-4	3.64743671633874
V3	J1-5	2.35179207757995
V3	J1-6	0.873732581069714
V3	J1-7	0.741843630939281
V3	J2-1	3.16445904054306
V3	J2-2	0.730426828067967
V3	J2-3	4.38624967764451
V3	J2-4	6.32951825027584
V3	J2-5	3.47087001627818
V3	J2-7	0.918013952845704
V30	J1-1	0.639084437863364
V30	J1-2	0.493036763006845
V30	J1-3	9.70719539005933
V30	J1-4	3.18530921093006
V30	J1-5	1.34898800704244
V30	J1-6	3.24751219424349
V30	J1-7	1.6669203291638
V30	J2-1	1.73139956083225
V30	J2-2	7.09472167285672
V30	J2-3	1.08650778341462
V30	J2-4	2.46163355130364
V30	J2-5	0.950375575671295
V30	J2-7	3.20319158582344
V4	J1-1	1.20958695003959
V4	J1-2	0.587902220608346
V4	J1-3	3.14290462696753
V4	J1-4	3.57187253908474
V4	J1-5	3.02748498779164
V4	J1-6	1.11263269897155
V4	J1-7	0.850144063265763
V4	J2-1	4.3168179056371
V4	J2-2	0.890067110452242
V4	J2-3	3.7080572605173
V4	J2-4	6.3469681943027
V4	J2-5	4.80816870237884
V4	J2-7	3.44987376941675
V5	J1-1	0.990539247994801
V5	J1-2	0.863133875824366
V5	J1-3	1.96677236443746
V5	J1-4	3.25032108005522
V5	J1-5	6.38768933503711
V5	J1-6	1.78209549838749
V5	J1-7	0.975047487378435
V5	J2-1	2.94768139581832
V5	J2-2	1.05119243684932
V5	J2-3	3.01188216210355
V5	J2-4	16.8219069511484
V5	J2-5	14.557150500623
V5	J2-7	1.33841384305618
V122	J1-1	0.923793826388157
V122	J1-2	0.292512260990794
V122	J1-3	2.8183722850275
V122	J1-4	4.20608056494779
V122	J1-5	0.829498649910443
V122	J1-6	1.8753594856695
V122	J1-7	1.32820531552998
V122	J2-1	0.621263010583647
V122	J2-2	4.28617633288855
V122	J2-3	0.463455963616465
V122	J2-4	0.686955916828845
V122	J2-5	0.657660817040823
V122	J2-7	1.88496398714302
